oms.party.Party

partyId,partyTypeEnumId

P001,ORGANIZATION
P002,PERSON
P003,ORGANIZATION
P004,ORGANIZATION
P005,ORGANIZATION
P006,ORGANIZATION
P007,PERSON
P008,PERSON
P009,ORGANIZATION
P010,ORGANIZATION
P011,ORGANIZATION
P012,ORGANIZATION
P013,ORGANIZATION
P014,ORGANIZATION
P015,ORGANIZATION
P016,ORGANIZATION
P017,ORGANIZATION
P018,PERSON
P019,PERSON
P020,ORGANIZATION
P021,PERSON
P022,ORGANIZATION
P023,PERSON
P024,PERSON
P025,PERSON
P026,PERSON
P027,ORGANIZATION
P028,ORGANIZATION
P029,PERSON
P030,PERSON
P031,PERSON
P032,PERSON
P033,PERSON
P034,PERSON
P035,ORGANIZATION
P036,PERSON
P037,PERSON
P038,ORGANIZATION
P039,ORGANIZATION
P040,PERSON
P041,ORGANIZATION
P042,PERSON
P043,ORGANIZATION
P044,ORGANIZATION
P045,PERSON
P046,PERSON
P047,PERSON
P048,PERSON
P049,ORGANIZATION
P050,PERSON
P051,ORGANIZATION
P052,PERSON
P053,ORGANIZATION
P054,PERSON
P055,PERSON
P056,ORGANIZATION
P057,PERSON
P058,ORGANIZATION
P059,ORGANIZATION
P060,PERSON
P061,ORGANIZATION
P062,ORGANIZATION
P063,ORGANIZATION
P064,PERSON
P065,ORGANIZATION
P066,ORGANIZATION
P067,PERSON
P068,PERSON
P069,ORGANIZATION
P070,ORGANIZATION
P071,ORGANIZATION
P072,PERSON
P073,ORGANIZATION
P074,ORGANIZATION
P075,ORGANIZATION
P076,PERSON
P077,ORGANIZATION
P078,PERSON
P079,PERSON
P080,ORGANIZATION
P081,ORGANIZATION
P082,PERSON
P083,ORGANIZATION
P084,ORGANIZATION
P085,PERSON
P086,ORGANIZATION
P087,PERSON
P088,PERSON
P089,ORGANIZATION
P090,ORGANIZATION
P091,ORGANIZATION
P092,PERSON
P093,ORGANIZATION
P094,PERSON
P095,ORGANIZATION
P096,ORGANIZATION
P097,PERSON
P098,PERSON
P099,PERSON
P100,PERSON
P101,PERSON
P102,PERSON
P103,PERSON
P104,ORGANIZATION
P105,ORGANIZATION
P106,ORGANIZATION
P107,PERSON
P108,PERSON
P109,PERSON
P110,PERSON
P111,PERSON
P112,PERSON
P113,PERSON
P114,PERSON
P115,PERSON
P116,ORGANIZATION
P117,ORGANIZATION
P118,PERSON
P119,ORGANIZATION
P120,PERSON
P121,PERSON
P122,PERSON
P123,PERSON
P124,PERSON
P125,ORGANIZATION
P126,PERSON
P127,ORGANIZATION
P128,PERSON
P129,ORGANIZATION
P130,PERSON
P131,ORGANIZATION
P132,ORGANIZATION
P133,PERSON
P134,ORGANIZATION
P135,ORGANIZATION
P136,PERSON
P137,ORGANIZATION
P138,PERSON
P139,ORGANIZATION
P140,PERSON
P141,PERSON
P142,ORGANIZATION
P143,PERSON
P144,PERSON
P145,PERSON
P146,PERSON
P147,PERSON
P148,PERSON
P149,PERSON
P150,ORGANIZATION
