oms.contact.PartyContactMech

partyId,contactMechId,contactMechPurposeId,fromDate

P001,CM468,TelecomWork,2021-03-19 00:28:41
P001,CM665,TelecomWork,2022-09-14 18:21:56
P002,CM002,EmailPrimary,2020-10-07 11:29:27
P002,CM823,PostalBilling,2020-07-26 22:37:18
P002,CM462,TelecomWork,2020-11-30 10:17:20
P002,CM221,PostalBilling,2022-01-26 10:44:49
P003,CM111,EmailSecondary,2023-11-24 06:05:32
P004,CM768,PostalPrimary,2024-10-21 01:37:49
P004,CM518,TelecomWork,2020-06-17 21:59:09
P004,CM175,EmailSecondary,2020-12-12 08:06:57
P005,CM620,PostalBilling,2023-02-20 22:31:39
P005,CM169,EmailSecondary,2024-08-02 01:23:46
P006,CM892,PostalPrimary,2020-01-13 13:25:43
P006,CM423,TelecomWork,2023-10-25 16:46:45
P006,CM974,TelecomPrimary,2023-08-12 13:53:46
P007,CM007,EmailPrimary,2021-06-06 14:40:41
P007,CM497,PostalBilling,2020-07-16 05:52:44
P008,CM008,EmailPrimary,2022-08-10 13:36:32
P008,CM924,PostalBilling,2020-09-08 21:50:04
P008,CM237,TelecomWork,2023-03-18 21:13:28
P008,CM283,PostalPrimary,2022-04-14 03:17:49
P009,CM891,PostalPrimary,2021-04-14 10:23:54
P009,CM844,PostalBilling,2023-01-04 17:29:12
P010,CM645,TelecomWork,2023-12-26 09:02:46
P010,CM855,PostalPrimary,2021-04-04 19:16:40
P011,CM177,PostalBilling,2023-04-14 18:32:56
P012,CM170,EmailSecondary,2021-09-10 01:06:05
P012,CM927,PostalBilling,2020-07-18 04:20:47
P013,CM800,TelecomWork,2023-10-02 12:46:59
P013,CM409,PostalPrimary,2022-05-25 11:18:19
P013,CM550,PostalBilling,2021-01-21 11:20:54
P014,CM310,TelecomWork,2020-12-09 08:42:13
P014,CM743,EmailSecondary,2020-12-31 20:40:25
P015,CM986,PostalPrimary,2020-06-07 21:13:27
P016,CM100,TelecomPrimary,2023-04-12 22:24:18
P016,CM242,TelecomWork,2024-01-12 05:57:36
P017,CM983,EmailSecondary,2020-07-08 03:02:27
P017,CM233,PostalBilling,2021-10-28 18:01:28
P018,CM018,EmailPrimary,2024-06-16 06:44:19
P018,CM520,PostalPrimary,2021-02-22 21:02:01
P018,CM233,TelecomPrimary,2024-07-13 10:43:49
P018,CM402,PostalPrimary,2021-11-09 14:55:08
P019,CM019,EmailPrimary,2020-06-13 09:14:12
P019,CM407,EmailSecondary,2022-05-15 06:10:17
P020,CM380,TelecomPrimary,2023-07-02 20:39:08
P021,CM021,EmailPrimary,2023-07-30 14:06:50
P021,CM636,PostalBilling,2020-12-18 02:18:31
P022,CM748,PostalBilling,2021-06-11 09:42:25
P022,CM917,PostalBilling,2023-02-09 20:30:05
P022,CM235,PostalPrimary,2020-02-23 15:15:37
P023,CM023,EmailPrimary,2020-06-21 10:02:16
P023,CM477,PostalBilling,2021-01-24 05:43:34
P023,CM271,TelecomPrimary,2020-03-14 13:04:26
P024,CM024,EmailPrimary,2020-10-08 17:11:56
P024,CM126,TelecomPrimary,2023-11-24 03:29:43
P024,CM607,PostalPrimary,2021-06-14 06:41:35
P025,CM025,EmailPrimary,2021-01-11 16:20:31
P025,CM634,EmailSecondary,2024-06-27 00:56:31
P025,CM459,TelecomPrimary,2024-01-20 21:40:00
P025,CM953,PostalBilling,2021-09-26 14:58:58
P026,CM026,EmailPrimary,2023-04-13 23:29:50
P026,CM281,TelecomPrimary,2020-02-18 18:21:57
P026,CM873,EmailSecondary,2020-03-21 07:03:58
P026,CM398,PostalPrimary,2024-01-21 17:34:50
P027,CM292,TelecomPrimary,2025-01-13 11:45:14
P028,CM229,PostalPrimary,2021-06-01 16:47:05
P028,CM909,EmailSecondary,2023-07-26 18:36:48
P028,CM714,PostalPrimary,2020-06-22 07:46:45
P029,CM029,EmailPrimary,2024-04-21 01:48:32
P029,CM521,EmailSecondary,2022-10-13 06:57:17
P029,CM992,PostalPrimary,2022-11-29 00:32:44
P030,CM030,EmailPrimary,2022-01-26 04:37:33
P030,CM712,TelecomPrimary,2024-04-04 00:39:36
P030,CM651,TelecomPrimary,2020-02-07 00:25:09
P031,CM031,EmailPrimary,2023-04-30 00:00:30
P031,CM622,EmailSecondary,2021-08-08 20:20:27
P031,CM410,EmailSecondary,2022-10-26 09:16:13
P032,CM032,EmailPrimary,2022-05-14 22:10:52
P032,CM854,PostalPrimary,2022-03-14 11:07:33
P032,CM480,EmailSecondary,2021-09-13 07:50:30
P032,CM592,PostalBilling,2023-05-20 09:32:53
P033,CM033,EmailPrimary,2024-03-14 18:21:01
P033,CM554,TelecomWork,2024-12-11 08:17:23
P034,CM034,EmailPrimary,2023-10-12 17:19:52
P034,CM672,PostalBilling,2022-10-20 20:54:16
P034,CM208,EmailSecondary,2022-11-04 13:45:32
P035,CM824,TelecomWork,2024-08-31 09:35:04
P035,CM595,TelecomPrimary,2021-10-14 19:22:12
P035,CM391,PostalBilling,2023-02-18 18:32:13
P036,CM036,EmailPrimary,2024-06-18 21:50:49
P036,CM341,TelecomWork,2024-12-09 13:25:51
P037,CM037,EmailPrimary,2023-12-18 21:08:42
P037,CM544,PostalPrimary,2023-05-30 13:37:13
P037,CM203,PostalBilling,2024-04-22 15:34:32
P038,CM286,PostalPrimary,2022-09-26 14:08:43
P038,CM993,PostalBilling,2024-07-12 14:59:46
P038,CM270,TelecomPrimary,2021-09-20 07:08:58
P039,CM416,TelecomPrimary,2020-02-21 23:47:45
P040,CM040,EmailPrimary,2020-05-16 05:26:56
P040,CM235,PostalBilling,2023-06-19 13:09:36
P040,CM325,TelecomPrimary,2021-03-13 01:04:14
P040,CM599,PostalPrimary,2021-11-21 18:12:09
P041,CM310,TelecomWork,2021-01-04 16:47:01
P042,CM042,EmailPrimary,2023-04-29 10:38:50
P042,CM545,TelecomPrimary,2021-01-20 15:18:18
P042,CM354,TelecomWork,2021-05-04 18:36:17
P043,CM369,PostalBilling,2024-05-07 10:47:02
P043,CM954,PostalBilling,2022-07-13 00:23:32
P043,CM750,TelecomWork,2024-07-17 03:23:36
P044,CM727,PostalPrimary,2020-07-24 20:02:02
P045,CM045,EmailPrimary,2022-03-10 02:25:19
P045,CM819,PostalPrimary,2021-02-24 12:03:10
P045,CM484,EmailSecondary,2023-06-06 01:52:19
P046,CM046,EmailPrimary,2021-04-26 16:15:15
P046,CM265,PostalBilling,2024-07-11 07:36:47
P046,CM950,TelecomPrimary,2020-03-22 23:14:55
P046,CM870,TelecomPrimary,2020-09-17 19:00:36
P047,CM047,EmailPrimary,2020-08-14 21:45:14
P047,CM549,PostalPrimary,2021-12-26 00:51:02
P047,CM418,PostalPrimary,2024-11-18 12:40:54
P047,CM839,PostalPrimary,2022-06-20 17:42:46
P048,CM048,EmailPrimary,2022-06-03 03:39:25
P048,CM183,EmailSecondary,2022-08-21 13:58:55
P049,CM846,PostalBilling,2024-04-02 06:02:51
P050,CM050,EmailPrimary,2020-01-15 10:59:02
P050,CM681,EmailSecondary,2021-08-22 15:51:28
P051,CM666,PostalBilling,2021-10-27 09:16:13
P052,CM052,EmailPrimary,2023-08-08 10:16:08
P052,CM514,PostalPrimary,2020-03-31 07:01:26
P053,CM897,EmailSecondary,2023-01-26 08:55:03
P054,CM054,EmailPrimary,2024-08-15 08:38:49
P054,CM407,PostalBilling,2020-09-17 03:56:38
P055,CM055,EmailPrimary,2023-05-08 09:25:15
P055,CM274,PostalBilling,2021-11-11 07:54:14
P056,CM334,EmailSecondary,2022-06-07 08:02:01
P057,CM057,EmailPrimary,2024-02-18 15:57:37
P057,CM267,TelecomPrimary,2020-04-09 16:16:39
P058,CM317,EmailSecondary,2020-03-31 19:50:59
P058,CM205,TelecomWork,2023-11-11 10:10:46
P059,CM192,PostalBilling,2021-03-22 17:01:33
P060,CM060,EmailPrimary,2024-03-09 12:19:02
P060,CM606,EmailSecondary,2024-10-10 11:27:01
P061,CM682,EmailSecondary,2021-10-26 03:33:40
P061,CM403,PostalBilling,2021-08-22 23:31:11
P062,CM280,EmailSecondary,2020-05-30 00:39:24
P063,CM794,EmailSecondary,2021-05-01 12:54:09
P063,CM353,TelecomWork,2020-01-09 08:47:57
P064,CM064,EmailPrimary,2021-09-30 05:44:56
P064,CM377,TelecomPrimary,2023-09-04 02:05:51
P065,CM770,TelecomWork,2021-04-23 04:38:35
P065,CM548,TelecomPrimary,2022-03-05 10:21:06
P066,CM498,EmailSecondary,2022-07-07 10:40:37
P066,CM949,TelecomPrimary,2024-07-22 09:27:35
P067,CM067,EmailPrimary,2022-03-05 13:33:45
P067,CM702,TelecomPrimary,2020-02-28 11:20:46
P067,CM167,PostalPrimary,2024-10-14 14:50:40
P068,CM068,EmailPrimary,2020-04-11 17:25:42
P068,CM224,PostalPrimary,2020-12-10 00:55:50
P068,CM251,EmailSecondary,2024-04-28 03:52:01
P068,CM973,PostalBilling,2022-12-13 11:00:25
P069,CM519,PostalBilling,2023-01-17 19:45:01
P069,CM927,EmailSecondary,2021-07-30 00:06:28
P069,CM834,PostalBilling,2022-05-25 20:24:38
P070,CM144,PostalPrimary,2021-05-01 11:57:45
P071,CM501,PostalPrimary,2021-04-08 08:46:26
P071,CM861,PostalPrimary,2022-12-05 23:27:49
P072,CM072,EmailPrimary,2020-03-18 09:42:24
P072,CM761,TelecomWork,2023-01-23 23:18:03
P073,CM486,TelecomPrimary,2020-12-17 07:11:08
P073,CM728,TelecomWork,2021-01-07 23:30:30
P074,CM623,EmailSecondary,2021-08-29 11:30:05
P075,CM471,PostalPrimary,2024-04-08 08:04:42
P075,CM882,TelecomWork,2024-08-24 05:57:35
P075,CM548,PostalPrimary,2022-02-02 17:34:14
P076,CM076,EmailPrimary,2023-06-03 15:21:22
P076,CM212,EmailSecondary,2021-06-29 06:07:39
P077,CM654,TelecomPrimary,2024-07-31 04:30:15
P077,CM464,PostalPrimary,2022-05-19 23:31:31
P077,CM431,PostalBilling,2022-06-15 04:13:35
P078,CM078,EmailPrimary,2024-07-02 16:48:21
P078,CM257,TelecomWork,2024-07-16 18:50:26
P078,CM246,EmailSecondary,2020-01-31 08:02:20
P079,CM079,EmailPrimary,2022-02-05 02:47:11
P079,CM258,PostalPrimary,2023-04-25 14:21:35
P080,CM740,EmailSecondary,2024-07-30 18:33:31
P080,CM833,PostalBilling,2020-08-20 05:54:45
P081,CM544,TelecomPrimary,2022-03-22 00:03:43
P081,CM298,TelecomWork,2025-01-02 13:09:31
P081,CM991,TelecomPrimary,2021-05-26 15:32:08
P082,CM082,EmailPrimary,2022-02-20 19:51:01
P082,CM140,PostalPrimary,2022-12-01 23:24:22
P082,CM694,EmailSecondary,2022-04-17 06:09:12
P082,CM826,EmailSecondary,2021-12-28 11:06:12
P083,CM873,PostalBilling,2022-08-24 21:31:31
P083,CM816,PostalBilling,2023-04-24 01:04:15
P083,CM664,TelecomWork,2023-04-24 12:41:15
P084,CM976,TelecomPrimary,2020-06-27 12:18:01
P084,CM406,TelecomWork,2023-09-09 15:07:04
P084,CM783,PostalPrimary,2021-01-11 19:55:35
P085,CM085,EmailPrimary,2024-07-02 10:10:48
P085,CM736,PostalBilling,2022-09-14 19:19:03
P085,CM675,TelecomWork,2024-03-03 18:37:32
P085,CM178,PostalPrimary,2023-04-06 10:06:52
P086,CM242,TelecomWork,2023-03-24 20:08:05
P087,CM087,EmailPrimary,2020-09-09 02:15:26
P087,CM499,PostalBilling,2024-09-17 02:14:23
P088,CM088,EmailPrimary,2022-03-24 01:16:10
P088,CM990,PostalPrimary,2025-01-23 22:45:18
P088,CM303,TelecomWork,2020-11-07 09:28:48
P088,CM546,EmailSecondary,2021-04-06 17:24:45
P089,CM991,TelecomPrimary,2024-05-04 20:08:08
P089,CM685,TelecomPrimary,2020-05-31 10:29:25
P089,CM779,TelecomPrimary,2022-01-29 17:16:17
P090,CM629,TelecomPrimary,2024-05-06 07:38:13
P090,CM543,TelecomPrimary,2020-09-28 07:10:28
P090,CM388,PostalBilling,2024-08-14 18:00:34
P091,CM696,EmailSecondary,2021-07-29 17:43:20
P091,CM655,TelecomWork,2023-10-20 11:41:31
P092,CM092,EmailPrimary,2022-01-12 08:38:31
P092,CM663,PostalPrimary,2021-07-28 09:18:03
P092,CM808,PostalBilling,2024-10-22 19:20:46
P093,CM443,TelecomWork,2023-08-25 14:43:53
P094,CM094,EmailPrimary,2022-09-07 01:30:01
