oms.party.PartyRole

partyId,roleTypeId

P001,COLLEGE
P002,STUDENT
P003,CUSTOMER
P004,EMPLOYER
P005,EMPLOYEE
P006,CUSTOMER
P007,EMPLOYER
P008,EMPLOYER
P009,COLLEGE
P010,EMPLOYER
P011,EMPLOYER
P012,EMPLOYEE
P013,COLLEGE
P014,STAFF
P015,STUDENT
P016,COLLEGE
P017,COLLEGE
P018,STUDENT
P019,STAFF
P020,COLLEGE
P021,EMPLOYEE
P022,EMPLOYER
P023,COLLEGE
P024,EMPLOYER
P025,CUSTOMER
P026,COLLEGE
P027,COLLEGE
P028,EMPLOYER
P029,EMPLOYER
P030,STAFF
P031,EMPLOYEE
P032,STUDENT
P033,COLLEGE
P034,EMPLOYEE
P035,STUDENT
P036,EMPLOYEE
P037,CUSTOMER
P038,STUDENT
P039,COLLEGE
P040,EMPLOYER
P041,STAFF
P042,COLLEGE
P043,EMPLOYEE
P044,CUSTOMER
P045,STAFF
P046,CUSTOMER
P047,EMPLOYEE
P048,STUDENT
P049,EMPLOYER
P050,CUSTOMER
P051,EMPLOYEE
P052,STUDENT
P053,EMPLOYER
P054,COLLEGE
P055,CUSTOMER
P056,EMPLOYER
P057,COLLEGE
P058,STUDENT
P059,EMPLOYER
P060,STAFF
P061,CUSTOMER
P062,COLLEGE
P063,CUSTOMER
P064,STUDENT
P065,EMPLOYER
P066,STUDENT
P067,EMPLOYEE
P068,STAFF
P069,EMPLOYER
P070,STAFF
P071,EMPLOYER
P072,STUDENT
P073,COLLEGE
P074,STAFF
P075,STAFF
P076,STAFF
P077,STAFF
P078,EMPLOYEE
P079,STAFF
P080,EMPLOYEE
P081,STUDENT
P082,STAFF
P083,COLLEGE
P084,EMPLOYER
P085,EMPLOYEE
P086,STUDENT
P087,STUDENT
P088,STUDENT
P089,CUSTOMER
P090,EMPLOYER
P091,EMPLOYEE
P092,CUSTOMER
P093,EMPLOYEE
P094,STAFF
P095,COLLEGE
P096,STAFF
P097,STUDENT
P098,COLLEGE
P099,CUSTOMER
P100,CUSTOMER
P101,EMPLOYER
P102,STUDENT
P103,STAFF
P104,STAFF
P105,STUDENT
P106,STAFF
P107,CUSTOMER
P108,EMPLOYEE
P109,STUDENT
P110,CUSTOMER
P111,EMPLOYER
P112,STUDENT
P113,STAFF
P114,CUSTOMER
P115,COLLEGE
P116,STAFF
P117,EMPLOYER
P118,COLLEGE
P119,EMPLOYEE
P120,CUSTOMER
P121,EMPLOYEE
P122,EMPLOYEE
P123,CUSTOMER
P124,EMPLOYER
P125,EMPLOYER
P126,STAFF
P127,COLLEGE
P128,STUDENT
P129,STUDENT
P130,COLLEGE
P131,EMPLOYEE
P132,EMPLOYER
P133,COLLEGE
P134,STUDENT
P135,STUDENT
P136,CUSTOMER
P137,COLLEGE
P138,EMPLOYEE
P139,CUSTOMER
P140,EMPLOYEE
P141,COLLEGE
P142,COLLEGE
P143,EMPLOYER
P144,EMPLOYEE
P145,STUDENT
P146,EMPLOYER
P147,EMPLOYER
P148,STUDENT
P149,COLLEGE
P150,COLLEGE
